"","Pseudorep","Median_distance_huanan"
"1",1000,6.1572
"2",95,6.7957
"3",186,7.23
"4",325,7.2821
"5",473,7.2834
"6",869,7.2865
"7",255,7.3093
"8",359,7.3093
"9",630,7.312
"10",136,7.3368
"11",272,7.3368
"12",324,7.3368
"13",792,7.3368
"14",87,7.3448
"15",101,7.3448
"16",484,7.3448
"17",682,7.3448
"18",779,7.3448
"19",293,7.402
"20",910,7.4146
"21",898,7.4172
"22",138,7.4294
"23",924,7.4294
"24",35,7.4401
"25",188,7.4401
"26",421,7.4401
"27",655,7.445
"28",353,7.4542
"29",647,7.4542
"30",436,7.4677
"31",591,7.474
"32",718,7.474
"33",962,7.474
"34",329,7.4783
"35",265,7.486
"36",271,7.486
"37",909,7.486
"38",772,7.5334
"39",985,7.5334
"40",714,7.5571
"41",500,7.5787
"42",624,7.5787
"43",976,7.5787
"44",72,7.6814
"45",107,7.6814
"46",452,7.6814
"47",746,7.6814
"48",899,7.6814
"49",123,7.7097
"50",183,7.7097
"51",374,7.7097
"52",389,7.7097
"53",447,7.7097
"54",560,7.7097
"55",688,7.7097
"56",933,7.7097
"57",92,7.732
"58",145,7.732
"59",211,7.732
"60",240,7.732
"61",259,7.732
"62",391,7.732
"63",518,7.732
"64",581,7.732
"65",598,7.732
"66",731,7.732
"67",820,7.732
"68",892,7.732
"69",913,7.732
"70",984,7.732
"71",122,7.733
"72",517,7.733
"73",936,7.733
"74",21,7.7462
"75",229,7.7462
"76",583,7.7462
"77",610,7.7462
"78",665,7.7462
"79",710,7.7462
"80",857,7.7462
"81",858,7.7462
"82",875,7.7462
"83",879,7.7462
"84",894,7.7462
"85",939,7.7462
"86",120,7.7599
"87",226,7.7599
"88",382,7.7599
"89",468,7.7599
"90",571,7.7599
"91",711,7.7599
"92",830,7.7599
"93",13,7.7607
"94",207,7.7607
"95",423,7.7607
"96",456,7.7607
"97",637,7.7607
"98",891,7.7607
"99",42,7.7692
"100",93,7.7692
"101",208,7.7692
"102",216,7.7692
"103",301,7.7692
"104",375,7.7692
"105",705,7.7692
"106",780,7.7692
"107",923,7.7692
"108",948,7.7692
"109",340,7.8053
"110",403,7.8053
"111",434,7.8053
"112",826,7.8053
"113",903,7.8053
"114",17,7.8131
"115",119,7.8131
"116",212,7.8131
"117",244,7.8131
"118",264,7.8131
"119",279,7.8131
"120",429,7.8131
"121",433,7.8131
"122",474,7.8131
"123",478,7.8131
"124",603,7.8131
"125",623,7.8131
"126",633,7.8131
"127",668,7.8131
"128",701,7.8131
"129",729,7.8131
"130",755,7.8131
"131",785,7.8131
"132",862,7.8131
"133",881,7.8131
"134",890,7.8131
"135",918,7.8131
"136",922,7.8131
"137",932,7.8131
