"","Pseudorep","Median_distance_huanan"
"1",371,5.2945
"2",736,5.6411
"3",403,5.6783
"4",513,5.68
"5",372,5.7968
"6",920,5.8998
"7",618,5.9223
"8",300,5.9668
"9",558,6.0413
"10",37,6.0729
"11",77,6.0729
"12",275,6.0729
"13",501,6.0729
"14",953,6.0729
"15",954,6.0729
"16",81,6.1572
"17",197,6.2147
"18",201,6.2147
"19",757,6.2147
"20",502,6.233
"21",840,6.233
"22",73,6.3037
"23",452,6.3037
"24",579,6.3037
"25",727,6.3037
"26",755,6.3037
"27",305,6.5914
"28",43,6.818
"29",64,6.818
"30",111,6.818
"31",905,6.818
"32",741,6.8988
"33",596,6.9217
"34",657,6.9217
"35",994,6.9217
"36",468,6.9771
"37",524,6.9771
"38",56,7.0538
"39",206,7.0538
"40",124,7.0564
"41",691,7.2106
"42",987,7.2106
"43",32,7.23
"44",715,7.2605
"45",42,7.2706
"46",256,7.2706
"47",694,7.2706
"48",25,7.275
"49",51,7.275
"50",758,7.2821
"51",955,7.2821
"52",958,7.2821
"53",984,7.2821
"54",35,7.2834
"55",214,7.2834
"56",435,7.2834
"57",342,7.2865
"58",434,7.3093
"59",137,7.312
"60",791,7.312
"61",837,7.312
"62",87,7.3368
"63",343,7.3368
"64",437,7.3368
"65",495,7.3368
"66",676,7.3368
"67",796,7.3368
"68",886,7.3368
"69",960,7.3368
"70",195,7.3448
"71",352,7.3448
"72",965,7.3448
"73",14,7.4146
"74",179,7.4146
"75",554,7.4146
"76",936,7.4146
"77",74,7.4172
"78",117,7.4172
"79",463,7.4172
"80",689,7.4294
"81",802,7.4294
"82",3,7.4401
"83",63,7.4401
"84",76,7.4401
"85",828,7.4401
"86",968,7.4401
"87",612,7.445
"88",693,7.445
"89",910,7.445
"90",985,7.445
"91",97,7.4537
"92",404,7.4537
"93",464,7.4537
"94",716,7.4537
"95",717,7.4537
"96",778,7.4537
"97",39,7.4542
"98",92,7.4542
"99",402,7.4542
"100",471,7.4542
"101",589,7.4542
"102",927,7.4542
"103",200,7.4677
"104",855,7.4677
"105",921,7.4677
"106",19,7.474
"107",444,7.4783
"108",851,7.4783
"109",475,7.486
"110",756,7.486
"111",847,7.486
"112",232,7.5082
"113",529,7.5082
"114",621,7.5082
"115",874,7.5082
"116",530,7.5334
"117",553,7.5334
"118",571,7.5334
"119",622,7.5334
"120",937,7.5334
"121",948,7.5334
"122",45,7.5571
"123",72,7.5571
"124",164,7.5571
"125",216,7.5571
"126",316,7.5571
"127",564,7.5571
"128",616,7.5571
"129",680,7.5571
"130",859,7.5571
"131",862,7.5571
"132",918,7.5571
"133",13,7.5787
"134",191,7.5787
"135",242,7.5787
"136",688,7.5787
"137",695,7.5787
"138",696,7.5787
"139",734,7.5787
"140",356,7.6814
"141",472,7.6814
"142",626,7.6814
"143",665,7.6814
"144",880,7.6814
"145",982,7.6814
"146",418,7.7097
"147",523,7.7097
"148",630,7.7097
"149",849,7.7097
"150",867,7.7097
"151",2,7.732
"152",29,7.732
"153",67,7.732
"154",104,7.732
"155",114,7.732
"156",199,7.732
"157",318,7.732
"158",408,7.732
"159",445,7.732
"160",506,7.732
"161",514,7.732
"162",525,7.732
"163",566,7.732
"164",585,7.732
"165",703,7.732
"166",844,7.732
"167",891,7.732
"168",993,7.732
"169",130,7.733
"170",283,7.733
"171",494,7.733
"172",55,7.7462
"173",227,7.7462
"174",254,7.7462
"175",470,7.7462
"176",620,7.7462
"177",668,7.7462
"178",687,7.7462
"179",939,7.7462
"180",4,7.7599
"181",379,7.7599
"182",483,7.7599
"183",568,7.7599
"184",833,7.7599
"185",835,7.7599
"186",848,7.7599
"187",592,7.7607
"188",744,7.7607
"189",894,7.7607
"190",903,7.7607
"191",138,7.7692
"192",294,7.7692
"193",416,7.7692
"194",503,7.7692
"195",990,7.7692
"196",251,7.8053
"197",268,7.8053
"198",380,7.8053
"199",381,7.8053
"200",465,7.8053
"201",520,7.8053
"202",654,7.8053
"203",101,7.8131
"204",172,7.8131
"205",217,7.8131
"206",237,7.8131
"207",292,7.8131
"208",322,7.8131
"209",499,7.8131
"210",508,7.8131
"211",534,7.8131
"212",661,7.8131
"213",700,7.8131
"214",831,7.8131
"215",120,7.8319
"216",218,7.8319
"217",286,7.8319
"218",367,7.8319
"219",683,7.8319
"220",745,7.8319
"221",751,7.8319
"222",962,7.8319
"223",185,7.8449
"224",221,7.8449
"225",583,7.8449
"226",863,7.8449
"227",895,7.8449
"228",102,7.8469
"229",156,7.8469
"230",289,7.8469
"231",395,7.8469
"232",999,7.8469
"233",133,7.8475
"234",196,7.8475
"235",260,7.8475
"236",957,7.8475
"237",17,7.8637
"238",27,7.8637
"239",85,7.8637
"240",151,7.8637
"241",198,7.8637
"242",207,7.8637
"243",267,7.8637
"244",295,7.8637
"245",344,7.8637
"246",359,7.8637
"247",363,7.8637
"248",405,7.8637
"249",663,7.8637
"250",710,7.8637
"251",803,7.8637
"252",818,7.8637
"253",883,7.8637
"254",915,7.8637
"255",169,7.8693
"256",210,7.8693
"257",473,7.8693
"258",479,7.8693
"259",484,7.8693
"260",507,7.8693
"261",528,7.8693
"262",532,7.8693
"263",651,7.8693
"264",737,7.8693
"265",748,7.8693
"266",981,7.8693
"267",15,7.9008
"268",40,7.9008
"269",141,7.9008
"270",262,7.9008
"271",481,7.9008
"272",725,7.9008
"273",925,7.9008
"274",302,7.9075
"275",346,7.9075
"276",446,7.9075
"277",598,7.9075
"278",649,7.9075
"279",887,7.9075
"280",909,7.9075
"281",938,7.9075
"282",978,7.9075
"283",131,7.929
"284",293,7.929
"285",679,7.929
"286",681,7.929
"287",57,7.9466
"288",70,7.9466
"289",348,7.9466
"290",433,7.9466
"291",451,7.9466
"292",505,7.9466
"293",629,7.9466
"294",652,7.9466
"295",364,7.9516
"296",414,7.9516
"297",429,7.9516
"298",536,7.9516
"299",613,7.9516
"300",911,7.9516
"301",1000,7.9516
"302",41,7.9757
"303",122,7.9757
"304",127,7.9757
"305",175,7.9757
"306",188,7.9757
"307",266,7.9757
"308",330,7.9757
"309",410,7.9757
"310",518,7.9757
"311",582,7.9757
"312",632,7.9757
"313",785,7.9757
"314",841,7.9757
"315",897,7.9757
"316",917,7.9757
"317",160,7.9924
"318",222,7.9924
"319",333,7.9924
"320",628,7.9924
"321",662,7.9924
"322",805,7.9924
"323",819,7.9924
"324",832,7.9924
"325",935,7.9924
"326",171,8.0311
"327",304,8.0311
"328",488,8.0311
"329",567,8.0311
