"","Pseudorep","Median_distance_huanan"
"1",906,5.6783
"2",82,5.8262
"3",263,5.9482
"4",815,5.9482
"5",883,6.1423
"6",491,6.2592
"7",487,6.6127
"8",580,6.67405
"9",417,6.67675
"10",475,6.818
"11",292,7.1432
"12",91,7.15695
"13",570,7.20525
"14",803,7.2203
"15",878,7.2503
"16",232,7.2728
"17",387,7.2843
"18",316,7.2874
"19",618,7.29215
"20",363,7.3059
"21",255,7.30945
"22",600,7.3101
"23",811,7.3101
"24",176,7.3244
"25",610,7.3244
"26",44,7.3368
"27",865,7.3368
"28",300,7.3408
"29",920,7.36175
"30",394,7.3633
"31",332,7.3646
"32",996,7.3679
"33",366,7.3694
"34",870,7.3757
"35",260,7.377
"36",165,7.39525
"37",654,7.402
"38",876,7.4225
"39",152,7.42865
"40",37,7.4469
"41",270,7.44935
"42",42,7.4537
"43",426,7.46095
"44",746,7.46095
"45",999,7.474
"46",549,7.49325
"47",153,7.50055
"48",336,7.5037
"49",715,7.50405
"50",128,7.50565
"51",860,7.51085
"52",608,7.51185
"53",833,7.5177
"54",941,7.5285
"55",200,7.53235
"56",709,7.54525
"57",35,7.55605
"58",612,7.5679
"59",205,7.5733
"60",103,7.57455
"61",900,7.57455
"62",244,7.5787
"63",869,7.5837
"64",910,7.58655
"65",281,7.5931
"66",443,7.6191
"67",581,7.6201
"68",780,7.63005
"69",927,7.63005
"70",886,7.6332
"71",431,7.6418
"72",710,7.64355
"73",747,7.65295
"74",685,7.65535
"75",862,7.65945
"76",237,7.66245
"77",311,7.66245
"78",782,7.68595
"79",977,7.69555
"80",544,7.7104
"81",936,7.7138
"82",21,7.72085
"83",677,7.72085
"84",986,7.72085
"85",268,7.72135
"86",9,7.72795
"87",60,7.732
"88",88,7.732
"89",253,7.732
"90",428,7.732
"91",899,7.732
"92",401,7.7325
"93",675,7.7325
"94",711,7.7325
"95",269,7.733
"96",813,7.733
"97",312,7.7352
"98",238,7.7391
"99",243,7.7391
"100",548,7.7391
"101",874,7.7391
"102",209,7.7462
"103",36,7.74635
"104",76,7.74635
"105",217,7.74635
"106",670,7.74635
"107",46,7.7506
"108",786,7.7511
"109",913,7.75305
"110",118,7.75345
"111",890,7.75345
"112",690,7.7599
"113",334,7.7607
"114",817,7.76455
"115",459,7.76865
"116",832,7.7692
"117",839,7.7708
"118",422,7.77575
"119",216,7.77965
"120",506,7.77965
"121",116,7.7826
"122",189,7.7865
"123",261,7.7869
"124",262,7.7869
"125",278,7.78725
"126",420,7.78845
"127",639,7.78905
"128",419,7.79115
"129",589,7.79115
"130",835,7.79115
"131",965,7.79115
"132",247,7.79685
"133",120,7.8028
"134",535,7.8052
"135",22,7.80705
"136",100,7.80805
"137",984,7.80835
"138",845,7.8092
"139",301,7.8131
"140",388,7.8131
"141",391,7.8131
"142",462,7.8131
"143",754,7.81645
"144",364,7.81925
"145",376,7.8225
"146",691,7.8225
"147",30,7.8264
"148",924,7.8264
"149",849,7.829
"150",48,7.83
"151",779,7.83
"152",86,7.8319
"153",2,7.835
"154",323,7.8384
"155",523,7.8384
"156",756,7.8384
"157",776,7.8384
"158",284,7.8394
"159",430,7.8412
"160",716,7.8462
"161",108,7.8472
"162",467,7.8478
"163",510,7.8478
"164",947,7.8478
"165",445,7.8543
"166",795,7.8543
"167",558,7.8553
"168",305,7.8556
"169",636,7.8556
"170",69,7.85695
"171",373,7.85695
"172",131,7.8571
"173",980,7.8581
"174",337,7.8584
"175",370,7.8637
"176",371,7.8637
"177",396,7.8637
"178",218,7.8665
"179",598,7.8665
"180",928,7.8665
"181",935,7.8693
"182",266,7.87285
"183",995,7.87285
"184",961,7.87385
"185",241,7.87595
"186",274,7.8772
"187",28,7.87845
"188",344,7.87985
"189",501,7.88225
"190",765,7.88225
"191",648,7.88235
"192",145,7.88505
"193",601,7.8856
"194",117,7.88825
"195",485,7.8884
"196",982,7.8884
"197",63,7.8944
"198",470,7.8944
"199",295,7.89635
"200",404,7.89635
"201",641,7.89705
"202",880,7.89705
"203",951,7.89705
"204",395,7.89885
"205",174,7.89915
"206",339,7.89915
"207",933,7.89925
"208",286,7.89955
"209",823,7.89955
"210",997,7.90415
"211",704,7.90515
"212",891,7.90515
"213",623,7.90765
"214",242,7.90795
"215",427,7.90795
"216",450,7.91045
"217",460,7.9149
"218",486,7.9149
"219",629,7.9197
"220",759,7.9197
"221",809,7.9197
"222",830,7.9197
"223",757,7.9221
"224",931,7.9225
"225",979,7.9237
"226",565,7.92705
"227",170,7.92805
"228",23,7.92845
"229",507,7.929
"230",582,7.92955
"231",740,7.93615
"232",61,7.9378
"233",646,7.9466
"234",879,7.9491
"235",362,7.94995
"236",628,7.94995
"237",537,7.9515
"238",157,7.9516
"239",948,7.9516
"240",212,7.95205
"241",351,7.95205
"242",858,7.9598
"243",763,7.9607
"244",4,7.96115
"245",552,7.96115
"246",13,7.9676
"247",642,7.9695
"248",51,7.9706
"249",615,7.9706
"250",203,7.972
"251",597,7.97395
"252",228,7.9757
"253",665,7.9757
"254",731,7.9757
"255",777,7.9757
"256",762,7.97735
"257",275,7.98615
"258",960,7.98745
"259",774,7.98885
"260",577,7.99135
"261",248,7.9924
"262",889,7.9935
"263",773,7.996
"264",887,7.996
"265",915,7.996
"266",407,7.9976
"267",489,7.9976
"268",513,7.99835
"269",146,7.99925
"270",586,7.99925
"271",644,8.0034
"272",94,8.01
"273",173,8.01
"274",381,8.01175
"275",536,8.01175
