"","Pseudorep","Median_distance_huanan"
"1",616,1.34315
"2",646,1.39445
"3",396,1.4578
"4",472,1.6252
"5",485,1.7897
"6",989,1.91705
"7",468,1.92375
"8",285,2.01235
"9",728,2.2293
"10",221,2.39215
"11",637,2.5456
"12",459,2.62995
"13",515,2.67285
"14",7,2.753
"15",386,2.75375
"16",225,2.7767
"17",851,2.8516
"18",331,2.85245
"19",864,2.85565
"20",981,2.87445
"21",970,2.9029
"22",873,2.91075
"23",586,2.94015
"24",952,2.9602
"25",263,3.0055
"26",976,3.0103
"27",900,3.0215
"28",473,3.03635
"29",496,3.0633
"30",794,3.06385
"31",36,3.07215
"32",258,3.0962
"33",761,3.09905
"34",758,3.1301
"35",735,3.13675
"36",780,3.2009
"37",828,3.244
"38",947,3.36185
"39",787,3.37765
"40",764,3.4787
"41",293,3.48695
"42",652,3.4905
"43",38,3.4964
"44",655,3.51605
"45",905,3.5464
"46",625,3.56445
"47",933,3.5688
"48",101,3.57825
"49",595,3.5811
"50",628,3.5921
"51",346,3.65805
"52",832,3.688
"53",676,3.68855
"54",79,3.7131
"55",784,3.7708
"56",532,3.7741
"57",992,3.77835
"58",203,3.7811
"59",906,3.78165
"60",284,3.79695
"61",373,3.8113
"62",861,3.82605
"63",318,3.83795
"64",889,3.85105
"65",99,3.8563
"66",423,3.8733
"67",415,3.8972
"68",795,3.91045
"69",387,3.91805
"70",451,3.9238
"71",102,3.96875
"72",245,3.97895
"73",830,3.9847
"74",572,3.99785
"75",820,4.0059
"76",626,4.02685
"77",525,4.06275
"78",283,4.0727
"79",747,4.11275
"80",213,4.1566
"81",145,4.18695
"82",510,4.20445
"83",486,4.20665
"84",97,4.2094
"85",74,4.31795
"86",307,4.34835
"87",393,4.35425
"88",452,4.35485
"89",344,4.3554
"90",682,4.35685
"91",124,4.38295
"92",16,4.42115
"93",199,4.4546
"94",11,4.47405
"95",885,4.4782
"96",422,4.51535
"97",815,4.5225
"98",10,4.52845
"99",838,4.5347
"100",570,4.53795
"101",265,4.55985
"102",917,4.56285
"103",811,4.58515
"104",125,4.59895
"105",908,4.6007
"106",220,4.61535
"107",42,4.6208
"108",541,4.713
"109",812,4.71725
"110",303,4.7269
"111",475,4.73095
"112",533,4.75885
"113",951,4.7623
"114",467,4.7633
"115",892,4.7734
"116",924,4.7752
"117",960,4.7817
"118",632,4.7887
"119",159,4.79435
"120",212,4.8186
"121",816,4.82705
"122",798,4.8346
"123",465,4.84165
"124",878,4.8516
"125",68,4.86365
"126",234,4.8877
"127",793,4.94175
"128",28,4.97
"129",355,5.00435
"130",581,5.0087
"131",480,5.0098
"132",696,5.0124
"133",351,5.04625
"134",286,5.0748
"135",528,5.0748
"136",301,5.1005
"137",374,5.1312
"138",313,5.13445
"139",763,5.1407
"140",47,5.14885
"141",910,5.15035
"142",765,5.15395
"143",9,5.1558
"144",754,5.1588
"145",363,5.1627
"146",461,5.17035
"147",681,5.172
"148",66,5.18645
"149",186,5.1884
"150",573,5.20535
"151",50,5.2157
"152",543,5.23275
"153",909,5.2329
"154",574,5.27495
"155",715,5.2849
"156",267,5.2877
"157",447,5.28815
"158",915,5.29915
"159",223,5.3047
"160",752,5.3091
"161",168,5.32115
"162",913,5.3283
"163",840,5.34745
"164",176,5.3577
"165",119,5.3794
"166",379,5.38595
"167",817,5.42675
"168",298,5.4296
"169",247,5.4333
"170",598,5.435
"171",809,5.45295
"172",290,5.50275
"173",216,5.5092
"174",808,5.52085
"175",945,5.54955
"176",891,5.55395
"177",845,5.5741
"178",332,5.5815
"179",123,5.58635
"180",948,5.59455
"181",250,5.60915
"182",173,5.61135
"183",751,5.62055
"184",998,5.6526
"185",932,5.6553
"186",54,5.6635
"187",483,5.674
"188",594,5.68255
"189",801,5.6981
"190",189,5.7037
"191",644,5.70945
"192",721,5.7156
"193",993,5.71675
"194",895,5.7564
"195",497,5.77525
"196",558,5.78175
"197",569,5.7893
"198",937,5.8126
"199",336,5.84855
"200",874,5.85375
"201",128,5.86435
"202",153,5.8687
"203",767,5.86875
"204",990,5.8837
"205",167,5.90835
"206",292,5.91465
"207",231,5.91705
