"","Pseudorep","Median_distance_huanan"
"1",281,5.2078
"2",773,5.2078
"3",327,5.224
"4",424,5.3882
"5",530,5.3882
"6",295,5.4376
"7",609,5.5092
"8",730,5.5092
"9",851,5.5092
"10",457,5.5969
"11",872,5.5969
"12",739,5.5987
"13",666,5.6411
"14",36,5.643
"15",551,5.643
"16",742,5.643
"17",533,5.669
"18",838,5.669
"19",422,5.6783
"20",451,5.6783
"21",658,5.6783
"22",908,5.6783
"23",652,5.68
"24",960,5.68
"25",573,5.6802
"26",691,5.7526
"27",909,5.7526
"28",46,5.7726
"29",339,5.7796
"30",615,5.7968
"31",182,5.8235
"32",318,5.8235
"33",637,5.8235
"34",688,5.8288
"35",939,5.8429
"36",921,5.8998
"37",162,5.9223
"38",206,5.9223
"39",253,5.9223
"40",574,5.9223
"41",11,5.9632
"42",624,5.9632
"43",259,5.9668
"44",380,5.9668
"45",519,5.9668
"46",924,5.9668
"47",794,5.9803
"48",564,6.0132
"49",689,6.0132
"50",873,6.0132
"51",881,6.0132
"52",120,6.0413
"53",550,6.0413
"54",726,6.0413
"55",969,6.0413
"56",210,6.0699
"57",745,6.0699
"58",778,6.0699
"59",155,6.0729
"60",394,6.0729
"61",447,6.0729
"62",538,6.0729
"63",842,6.0729
"64",912,6.0729
"65",951,6.0729
"66",984,6.0729
"67",67,6.1572
"68",255,6.1572
"69",740,6.1572
"70",761,6.1572
"71",848,6.1572
"72",131,6.2147
"73",452,6.2147
"74",603,6.2147
"75",662,6.2147
"76",771,6.2147
"77",843,6.2147
"78",211,6.233
"79",421,6.233
"80",164,6.3037
"81",972,6.4318
"82",293,6.5524
"83",413,6.5524
"84",517,6.5524
"85",194,6.5914
"86",494,6.5914
"87",571,6.5914
"88",820,6.5914
"89",577,6.7957
"90",877,6.7957
"91",903,6.7957
"92",958,6.7957
"93",307,6.818
"94",576,6.818
"95",805,6.818
"96",64,6.8988
"97",348,6.8988
"98",368,6.8988
"99",420,6.8988
"100",125,6.9217
"101",167,6.9217
"102",914,6.9217
"103",917,6.9217
"104",567,6.9771
"105",463,7.0371
"106",886,7.0371
"107",202,7.0538
"108",157,7.0564
"109",825,7.0564
"110",927,7.0564
"111",684,7.1805
"112",156,7.2106
"113",464,7.2106
"114",572,7.2106
"115",664,7.2106
"116",523,7.23
"117",614,7.23
"118",657,7.23
"119",518,7.2605
"120",999,7.2605
"121",799,7.2706
"122",812,7.2706
"123",862,7.2706
"124",948,7.275
"125",365,7.2821
"126",619,7.2821
"127",407,7.2834
"128",954,7.2834
"129",95,7.2865
"130",96,7.2865
"131",214,7.2865
"132",570,7.2865
"133",678,7.2865
"134",790,7.2865
"135",360,7.3093
"136",369,7.3093
"137",892,7.3093
"138",970,7.3093
"139",238,7.312
"140",522,7.312
"141",672,7.312
"142",888,7.312
"143",945,7.312
"144",41,7.3368
"145",92,7.3368
"146",118,7.3368
"147",184,7.3368
"148",231,7.3368
"149",282,7.3368
"150",288,7.3368
"151",332,7.3368
"152",415,7.3368
"153",643,7.3368
"154",665,7.3368
"155",697,7.3368
"156",736,7.3368
"157",783,7.3368
"158",787,7.3368
"159",796,7.3368
"160",802,7.3368
"161",980,7.3368
"162",996,7.3368
"163",130,7.3448
"164",179,7.3448
"165",928,7.3448
"166",243,7.402
"167",429,7.402
"168",485,7.402
"169",532,7.402
"170",708,7.402
"171",813,7.402
"172",178,7.4146
"173",223,7.4146
"174",234,7.4146
"175",256,7.4146
"176",261,7.4146
"177",374,7.4146
"178",635,7.4146
"179",938,7.4146
"180",347,7.4172
"181",668,7.4172
"182",853,7.4172
"183",879,7.4172
"184",336,7.4294
"185",505,7.4294
"186",620,7.4294
"187",686,7.4294
