"","Pseudorep","Median_distance_huanan"
"1",332,4.9214
"2",465,5.08265
"3",134,5.34565
"4",957,5.3591
"5",575,5.3666
"6",253,5.40065
"7",629,5.4014
"8",234,5.4934
"9",230,5.5177
"10",32,5.5236
"11",604,5.53455
"12",402,5.5436
"13",117,5.55595
"14",149,5.55595
"15",616,5.55595
"16",329,5.5579
"17",556,5.5796
"18",909,5.58005
"19",360,5.5941
"20",73,5.62645
"21",657,5.62695
"22",580,5.64205
"23",236,5.67365
"24",396,5.67365
"25",806,5.6805
"26",653,5.6898
"27",240,5.7113
"28",66,5.71895
"29",716,5.7329
"30",652,5.73535
"31",282,5.7626
"32",946,5.8007
"33",42,5.8042
"34",886,5.81015
"35",784,5.82255
"36",873,5.8248
"37",729,5.8358
"38",422,5.8397
"39",965,5.84215
"40",861,5.8597
"41",228,5.86135
"42",568,5.92275
"43",852,5.92275
"44",407,5.9414
"45",859,5.94935
"46",612,5.9649
"47",446,5.9818
"48",496,6.01985
"49",821,6.0714
"50",641,6.0733
"51",252,6.0981
"52",715,6.09925
"53",288,6.11505
"54",664,6.11505
"55",226,6.15145
"56",890,6.15495
"57",474,6.1725
"58",634,6.20325
"59",927,6.20605
"60",114,6.23045
"61",437,6.23045
"62",101,6.2592
"63",725,6.2791
"64",930,6.29535
"65",728,6.31265
"66",414,6.3391
"67",770,6.4266
"68",509,6.43685
"69",520,6.4921
"70",559,6.5084
"71",797,6.51435
"72",115,6.51655
"73",982,6.53565
"74",617,6.5719
"75",405,6.5959
"76",640,6.5959
"77",758,6.6022
"78",364,6.6109
"79",741,6.63505
"80",56,6.69355
"81",213,6.69355
"82",898,6.7484
"83",615,6.75655
"84",808,6.7703
"85",468,6.77575
"86",295,6.81425
"87",27,6.845
"88",995,6.8719
"89",699,6.90095
"90",356,6.901
"91",203,6.93795
"92",962,6.9412
"93",173,6.9641
"94",104,6.98685
"95",168,6.9909
"96",188,6.99925
"97",627,6.99925
"98",146,7.00315
"99",979,7.01545
"100",89,7.04545
"101",940,7.0584
"102",894,7.065
"103",156,7.0774
"104",365,7.0774
"105",504,7.0774
"106",668,7.0788
"107",897,7.0869
"108",231,7.10355
"109",648,7.1041
"110",251,7.12385
"111",885,7.12385
"112",209,7.1635
"113",177,7.1686
"114",829,7.1732
"115",266,7.1842
"116",862,7.18695
"117",154,7.1877
"118",90,7.1953
"119",683,7.1966
"120",273,7.19835
"121",679,7.1993
"122",539,7.22775
"123",600,7.2335
"124",9,7.247
"125",638,7.25505
"126",311,7.26265
"127",737,7.26555
"128",850,7.2777
"129",515,7.27855
"130",20,7.2792
"131",834,7.29755
"132",782,7.2979
"133",172,7.30345
"134",554,7.3059
"135",916,7.3093
"136",227,7.3101
"137",998,7.3101
"138",212,7.3225
"139",918,7.3368
"140",719,7.3385
"141",650,7.3408
"142",248,7.34475
"143",179,7.3448
"144",432,7.34835
"145",428,7.3503
"146",669,7.36165
"147",739,7.3633
"148",191,7.3757
"149",938,7.377
"150",952,7.377
"151",925,7.3831
"152",389,7.38845
"153",454,7.38845
"154",828,7.39165
"155",409,7.39465
"156",373,7.39525
"157",633,7.39525
"158",103,7.39925
"159",137,7.4054
"160",304,7.4083
"161",767,7.4233
"162",450,7.4304
"163",594,7.43475
"164",907,7.43475
"165",233,7.44255
"166",38,7.44935
"167",849,7.4539
"168",999,7.4539
"169",727,7.45775
"170",605,7.4595
"171",792,7.46385
"172",354,7.46625
"173",99,7.47415
"174",877,7.4753
"175",118,7.49625
"176",701,7.4971
"177",110,7.49795
"178",625,7.5013
"179",436,7.5106
"180",37,7.53265
"181",330,7.53265
"182",201,7.5334
"183",901,7.5344
"184",511,7.5415
"185",905,7.5417
"186",893,7.5741
"187",507,7.5781
"188",874,7.5837
"189",847,7.58765
"190",487,7.59185
"191",427,7.5921
"192",961,7.60465
"193",672,7.6072
"194",343,7.609
"195",620,7.6191
"196",945,7.6195
"197",401,7.6201
"198",682,7.6201
"199",688,7.62335
"200",82,7.6272
"201",902,7.6272
"202",881,7.62905
"203",955,7.63055
"204",949,7.63285
"205",915,7.63405
"206",185,7.63815
"207",376,7.6398
"208",61,7.6417
"209",216,7.6435
"210",459,7.64355
"211",181,7.64565
"212",113,7.64705
"213",811,7.6506
"214",950,7.65625
"215",423,7.6563
"216",994,7.65885
"217",888,7.6646
"218",723,7.6657
"219",43,7.66845
"220",536,7.67045
"221",83,7.6741
"222",816,7.67755
"223",781,7.6916
"224",610,7.692
"225",815,7.69675
"226",493,7.7023
"227",486,7.7067
"228",571,7.7067
"229",543,7.7072
"230",906,7.7131
"231",921,7.7178
"232",502,7.72085
"233",751,7.72795
"234",393,7.732
"235",512,7.732
"236",866,7.732
"237",245,7.7391
"238",469,7.7399
"239",817,7.7462
"240",764,7.74685
"241",72,7.7506
"242",477,7.75345
"243",16,7.7553
"244",674,7.7603
"245",417,7.76415
"246",691,7.76555
"247",296,7.7683
"248",826,7.7683
"249",775,7.76915
"250",529,7.7692
"251",380,7.77095
"252",300,7.77255
"253",352,7.77255
"254",62,7.77305
"255",341,7.77305
"256",499,7.7773
"257",91,7.77965
"258",572,7.7801
"259",68,7.78245
"260",951,7.7869
"261",11,7.8024
"262",944,7.8024
"263",247,7.80835
"264",86,7.81645
"265",541,7.81995
"266",270,7.8225
"267",452,7.8225
"268",887,7.8261
"269",976,7.829
"270",609,7.83
"271",128,7.8303
"272",424,7.8303
"273",953,7.8303
"274",549,7.8305
"275",802,7.8376
"276",880,7.8376
"277",109,7.8384
"278",336,7.8384
"279",533,7.8384
"280",735,7.83925
"281",124,7.8397
"282",81,7.8412
"283",537,7.84365
"284",183,7.8469
"285",773,7.8506
"286",698,7.85365
"287",812,7.8543
"288",702,7.8553
"289",394,7.8556
"290",18,7.8571
"291",863,7.8588
"292",162,7.8604
"293",681,7.8604
"294",249,7.8609
"295",342,7.8622
"296",165,7.86635
"297",769,7.86715
"298",846,7.8678
"299",659,7.87415
"300",399,7.88045
"301",6,7.8821
"302",548,7.88235
"303",765,7.8856
"304",96,7.88925
"305",268,7.88925
"306",601,7.8944
"307",471,7.8989
"308",542,7.89955
"309",869,7.9038
"310",628,7.9103
"311",840,7.91045
"312",192,7.91855
"313",148,7.9186
"314",80,7.9197
"315",822,7.9197
"316",619,7.91995
"317",331,7.9238
"318",645,7.9238
"319",910,7.9249
"320",631,7.92545
"321",15,7.9262
"322",441,7.93425
"323",374,7.93615
"324",647,7.9403
"325",488,7.9416
"326",800,7.9474
"327",932,7.9535
"328",54,7.95355
"329",730,7.9564
"330",205,7.96065
"331",546,7.96365
"332",30,7.96595
"333",820,7.9676
"334",560,7.96925
"335",670,7.97025
"336",353,7.97985
"337",160,7.98295
"338",159,7.9847
"339",25,7.98495
"340",262,7.9909
"341",309,7.9909
"342",805,7.9924
"343",523,7.9941
"344",922,7.99425
"345",2,7.99555
"346",314,7.99555
"347",743,7.99555
"348",475,7.9959
"349",479,7.99835
"350",315,7.99925
"351",748,7.99925
"352",667,8.00185
"353",97,8.0049
"354",125,8.00645
"355",831,8.00805
"356",214,8.01345
"357",425,8.01715
"358",458,8.0182
"359",934,8.01945
"360",708,8.0208
"361",744,8.02235
"362",348,8.0257
"363",257,8.03215
"364",7,8.0341
"365",607,8.03455
"366",340,8.0379
"367",33,8.0417
"368",969,8.0417
"369",449,8.04385
"370",119,8.0448
"371",451,8.04735
"372",544,8.052
"373",88,8.05205
"374",984,8.0594
"375",749,8.0603
"376",809,8.06105
"377",714,8.0631
"378",864,8.0631
"379",346,8.0633
"380",891,8.0633
"381",319,8.06335
"382",371,8.0644
"383",485,8.06625
"384",742,8.0688
"385",498,8.0704
"386",574,8.0744
"387",762,8.07535
"388",95,8.07805
"389",948,8.07805
"390",467,8.07925
"391",986,8.07925
"392",757,8.07955
"393",303,8.0839
"394",687,8.0839
"395",754,8.0858
"396",709,8.09335
"397",190,8.0961
"398",152,8.0986
"399",463,8.10165
"400",198,8.1031
"401",457,8.1092
"402",106,8.1097
"403",261,8.11275
"404",685,8.11345
"405",500,8.11585
"406",565,8.11715
"407",697,8.11715
"408",182,8.1178
"409",588,8.1178
"410",4,8.12225
"411",400,8.12225
"412",750,8.12225
"413",833,8.12225
"414",872,8.12225
"415",853,8.12245
"416",968,8.12245
"417",357,8.12685
"418",176,8.1327
"419",753,8.1327
"420",997,8.1327
"421",933,8.13305
"422",147,8.1418
"423",313,8.14185
"424",501,8.14375
"425",243,8.14775
"426",264,8.1512
"427",150,8.15125
"428",366,8.15125
"429",690,8.1548
"430",387,8.1568
"431",746,8.1584
"432",126,8.15935
"433",987,8.1612
"434",123,8.1658
"435",189,8.16595
"436",796,8.16595
"437",599,8.16595
"438",492,8.1685
"439",555,8.1685
"440",662,8.1685
"441",823,8.1704
"442",351,8.1705
"443",239,8.1738
"444",931,8.1751
"445",696,8.1781
"446",410,8.1783
"447",447,8.1783
"448",455,8.1783
"449",532,8.1783
"450",576,8.1795
"451",795,8.1802
"452",395,8.1841
"453",289,8.18635
"454",184,8.18745
"455",367,8.18975
"456",206,8.1898
"457",857,8.19385
"458",954,8.1945
"459",803,8.19685
"460",759,8.197
"461",464,8.1998
"462",250,8.202
"463",277,8.20215
"464",426,8.20215
"465",736,8.20255
"466",525,8.20585
"467",977,8.20585
"468",167,8.20725
"469",804,8.20725
"470",144,8.2079
"471",440,8.20845
"472",328,8.2098
"473",359,8.2098
"474",67,8.2102
"475",298,8.21245
"476",801,8.2138
"477",145,8.21405
"478",58,8.2148
"479",272,8.21635
"480",478,8.2164
"481",663,8.2164
"482",947,8.2164
"483",135,8.2217
"484",318,8.2232
"485",993,8.2237
"486",763,8.22875
"487",211,8.2311
"488",936,8.2311
"489",1000,8.2355
"490",408,8.2377
"491",133,8.2442
"492",495,8.2442
"493",608,8.2442
"494",64,8.2476
"495",587,8.24825
"496",255,8.2499
"497",57,8.2505
"498",547,8.25105
"499",733,8.2537
"500",597,8.25625
"501",355,8.2584
"502",755,8.2587
"503",518,8.2714
"504",151,8.27655
"505",285,8.2775
"506",848,8.27775
"507",692,8.2807
"508",941,8.28305
"509",85,8.28375
"510",241,8.29015
"511",975,8.2909
"512",292,8.29195
"513",960,8.29195
"514",535,8.29225
"515",344,8.2946
"516",418,8.2965
"517",985,8.2965
"518",49,8.30455
"519",271,8.3064
"520",883,8.30695
"521",14,8.30945
"522",195,8.3128
"523",959,8.3149
"524",12,8.31995
"525",278,8.3204
"526",943,8.3223
"527",964,8.3261
"528",510,8.32955
"529",981,8.33045
"530",980,8.33405
"531",988,8.34005
"532",876,8.3413
"533",362,8.34295
"534",41,8.3432
"535",460,8.34495
"536",592,8.3501
"537",112,8.3574
"538",550,8.3574
"539",564,8.36785
"540",908,8.37255
"541",583,8.37295
"542",403,8.37985
"543",726,8.38
"544",740,8.38225
"545",269,8.3845
"546",75,8.3865
"547",44,8.3878
"548",929,8.38805
"549",187,8.3979
"550",385,8.3979
"551",632,8.3982
"552",974,8.39855
"553",302,8.3991
"554",224,8.4009
"555",920,8.4077
"556",375,8.40905
"557",92,8.41725
"558",383,8.4212
"559",665,8.4212
"560",378,8.42275
"561",497,8.42445
"562",334,8.4247
"563",513,8.4247
"564",760,8.4254
"565",606,8.4268
"566",958,8.42905
"567",942,8.43295
"568",284,8.4332
"569",677,8.4348
"570",621,8.44085
"571",50,8.443
"572",45,8.44515
"573",320,8.4471
"574",771,8.4492
"575",622,8.4495
"576",991,8.4495
"577",989,8.4506
"578",851,8.45205
"579",448,8.45255
"580",783,8.4527
"581",686,8.45525
"582",895,8.4576
"583",204,8.45865
"584",368,8.45865
"585",752,8.45895
"586",102,8.4613
"587",35,8.46695
"588",966,8.4673
"589",60,8.46955
"590",140,8.4702
"591",928,8.47335
"592",732,8.47535
"593",131,8.4794
"594",283,8.48295
"595",335,8.48395
"596",879,8.48775
"597",333,8.4879
"598",508,8.48905
"599",637,8.4919
"600",259,8.4921
"601",505,8.496
"602",210,8.5006
"603",462,8.5065
"604",429,8.50655
"605",563,8.50665
"606",379,8.5073
"607",553,8.51175
"608",939,8.51175
"609",222,8.51375
"610",116,8.5153
"611",219,8.516
"612",577,8.5182
"613",791,8.5182
"614",52,8.51935
"615",562,8.5208
"616",481,8.52435
"617",830,8.53125
"618",713,8.53135
"619",84,8.53375
"620",734,8.54575
"621",768,8.5499
"622",308,8.55155
"623",557,8.55525
"624",286,8.56065
"625",202,8.5611
"626",551,8.5611
"627",244,8.56345
"628",350,8.56345
"629",433,8.5636
"630",578,8.56445
"631",196,8.5648
"632",693,8.5676
"633",87,8.5755
"634",871,8.5755
"635",911,8.57575
"636",660,8.5774
"637",761,8.5869
"638",254,8.59115
"639",390,8.59115
"640",642,8.598
"641",630,8.60055
"642",290,8.60355
"643",442,8.60355
"644",229,8.60425
"645",799,8.60425
"646",591,8.61325
"647",439,8.6141
"648",836,8.6146
"649",143,8.61825
"650",528,8.61825
"651",972,8.61825
"652",844,8.6196
"653",595,8.62195
"654",654,8.62195
"655",707,8.62195
"656",415,8.6241
"657",618,8.6241
"658",430,8.62675
"659",435,8.62675
"660",819,8.62675
"661",413,8.6303
"662",882,8.6337
"663",53,8.634
"664",372,8.634
"665",567,8.634
"666",593,8.63625
"667",971,8.64315
"668",310,8.64325
"669",345,8.64325
"670",305,8.6514
"671",586,8.66095
"672",624,8.6631
"673",21,8.66345
"674",120,8.6688
"675",527,8.6788
"676",98,8.6808
"677",370,8.6808
"678",824,8.6808
"679",276,8.6865
"680",199,8.69285
"681",17,8.6983
"682",297,8.69855
"683",338,8.69855
"684",388,8.69855
"685",655,8.69855
"686",406,8.7004
"687",491,8.70125
"688",3,8.71245
"689",398,8.71245
"690",476,8.71245
"691",258,8.7181
"692",651,8.7181
"693",293,8.7225
"694",522,8.72875
"695",194,8.73005
"696",197,8.73005
"697",649,8.73005
"698",36,8.73015
"699",51,8.73015
"700",317,8.73015
"701",397,8.73015
"702",438,8.73015
"703",582,8.73015
"704",584,8.73015
"705",858,8.73015
"706",937,8.73015
"707",973,8.73015
"708",347,8.7306
"709",878,8.7402
"710",39,8.7422
"711",138,8.7422
"712",158,8.7422
"713",174,8.7422
"714",349,8.7422
"715",482,8.7422
"716",540,8.7422
"717",603,8.7422
"718",643,8.7422
"719",671,8.7422
"720",738,8.7422
"721",786,8.7422
"722",875,8.7422
"723",914,8.7422
"724",926,8.7422
"725",19,8.7502
"726",232,8.75755
"727",480,8.75755
"728",814,8.76015
"729",161,8.7679
"730",484,8.7679
"731",322,8.7725
"732",55,8.7762
"733",169,8.77745
"734",186,8.77995
"735",720,8.77995
"736",774,8.77995
"737",494,8.7816
"738",756,8.79485
"739",412,8.816
"740",658,8.8206
"741",94,8.82855
"742",453,8.83165
"743",28,8.84075
"744",827,8.84325
"745",301,8.85065
"746",590,8.8629
"747",503,8.867
"748",992,8.8699
"749",558,8.8719
"750",855,8.8723
"751",889,8.8796
"752",70,8.8844
"753",171,8.8844
"754",381,8.8844
"755",421,8.8844
"756",676,8.8844
"757",860,8.8844
"758",470,8.89975
"759",287,8.9009
"760",635,8.9074
"761",142,8.9147
"762",626,8.92645
"763",521,8.93355
"764",884,8.9392
"765",411,8.9452
"766",666,8.94585
"767",141,8.94595
"768",46,8.94665
"769",904,8.95395
"770",794,8.95405
"771",127,8.9569
"772",842,8.958
"773",490,8.95805
"774",868,8.95895
"775",483,8.9592
"776",163,8.96175
"777",854,8.96315
"778",445,8.9646
"779",531,8.96895
"780",598,8.97305
"781",623,8.97335
"782",31,8.9738
"783",121,8.97605
"784",779,8.98145
"785",443,8.98395
"786",434,8.98915
"787",596,8.98915
"788",218,8.99215
"789",220,8.9978
"790",867,9.00655
"791",956,9.0067
"792",818,9.0117
"793",384,9.02775
"794",639,9.0299
"795",71,9.03355
"796",164,9.03355
"797",225,9.06785
"798",153,9.0681
"799",132,9.06905
"800",306,9.0721
"801",790,9.10285
"802",832,9.10285
"803",217,9.1078
"804",275,9.1189
"805",923,9.1221
"806",913,9.13265
"807",793,9.16575
"808",193,9.16685
"809",47,9.1671
"810",361,9.1671
"811",517,9.1731
"812",10,9.17495
"813",200,9.17495
"814",155,9.1768
"815",613,9.1778
"816",327,9.1844
"817",745,9.1885
"818",263,9.194
"819",339,9.198
"820",107,9.19955
"821",780,9.20095
"822",843,9.2035
"823",978,9.2054
"824",766,9.20635
"825",917,9.20635
"826",307,9.20795
"827",391,9.2092
"828",892,9.21765
"829",363,9.2189
"830",316,9.219
"831",614,9.223
"832",299,9.22585
"833",274,9.2306
"834",710,9.2434
"835",461,9.24505
"836",990,9.25745
"837",983,9.2693
"838",489,9.2705
"839",472,9.28255
"840",337,9.28535
"841",13,9.2864
"842",787,9.2864
"843",661,9.28735
"844",835,9.28735
"845",837,9.3085
"846",260,9.3298
"847",34,9.33765
"848",180,9.33765
"849",813,9.3382
"850",63,9.34645
"851",326,9.34775
"852",514,9.3507
"853",69,9.35385
"854",656,9.35765
"855",777,9.35975
"856",694,9.3666
"857",26,9.36875
"858",856,9.3727
"859",896,9.37705
"860",579,9.4034
"861",899,9.4039
"862",312,9.40695
"863",706,9.41875
"864",100,9.41955
"865",392,9.4287
"866",207,9.45195
"867",870,9.45965
"868",935,9.46355
"869",589,9.4728
"870",970,9.4945
"871",242,9.5092
"872",221,9.5194
"873",122,9.525
"874",256,9.5506
"875",79,9.55375
"876",704,9.5618
"877",903,9.5659
"878",807,9.56675
"879",456,9.60455
"880",130,9.6069
"881",175,9.6192
"882",24,9.627
"883",108,9.6313
"884",561,9.6548
"885",684,9.6592
"886",291,9.66
"887",845,9.6603
"888",524,9.66135
"889",581,9.664
"890",279,9.66715
"891",235,9.68015
"892",208,9.6815
"893",76,9.68515
"894",139,9.68515
"895",569,9.6958
"896",785,9.7038
"897",963,9.70485
"898",280,9.70515
"899",673,9.70705
"900",825,9.7075
"901",724,9.7139
"902",382,9.7237
"903",321,9.729
"904",40,9.72945
"905",5,9.73125
"906",839,9.73605
"907",136,9.7402
"908",534,9.7451
"909",570,9.7451
"910",566,9.7473
"911",324,9.74915
"912",59,9.75585
"913",838,9.7564
"914",841,9.76765
"915",1,9.7706
"916",611,9.7795
"917",23,9.80155
"918",29,9.814
"919",519,9.8179
"920",48,9.8387
"921",238,9.8441
"922",358,9.8565
"923",585,9.85965
"924",281,9.86055
"925",444,9.86985
"926",8,9.8746
"927",323,9.87725
"928",731,9.90075
"929",689,9.9098
"930",166,9.9218
"931",386,9.92495
"932",772,9.9442
"933",404,9.9615
"934",111,9.9812
"935",573,9.9828
"936",377,10.016
"937",552,10.02895
"938",294,10.05885
"939",325,10.0973
"940",466,10.1148
"941",967,10.15225
"942",77,10.1574
"943",717,10.16215
"944",74,10.1691
"945",538,10.1797
"946",789,10.196
"947",718,10.2059
"948",636,10.22795
"949",644,10.22795
"950",530,10.242
"951",680,10.2526
"952",924,10.25525
"953",788,10.2565
"954",178,10.26645
"955",900,10.2698
"956",526,10.27045
"957",78,10.27165
"958",157,10.2927
"959",695,10.2968
"960",369,10.2971
"961",711,10.3046
"962",93,10.3316
"963",705,10.3316
