"","Pseudorep","Median_distance_huanan"
"1",44,0.881
"2",174,0.881
"3",409,0.881
"4",867,0.8921
"5",486,0.9511
"6",503,0.9634
"7",585,0.9634
"8",882,0.9634
"9",11,1.1514
"10",926,1.1514
"11",224,1.1601
"12",673,1.1601
"13",440,1.1774
"14",705,1.2774
"15",218,1.2866
"16",261,1.4582
"17",824,1.4582
"18",210,1.4617
"19",339,1.4617
"20",691,1.4617
"21",904,1.4617
"22",361,1.5623
"23",410,1.5623
"24",556,1.5623
"25",692,1.5623
"26",270,1.5733
"27",611,1.6214
"28",736,1.6214
"29",610,1.6382
"30",997,1.6382
"31",423,1.7016
"32",906,1.7016
"33",338,1.7592
"34",793,1.7592
"35",829,1.7592
"36",788,1.885
"37",390,1.9076
"38",983,1.9076
"39",602,1.9173
"40",911,1.9173
"41",116,1.9397
"42",425,1.945
"43",641,1.945
"44",944,1.945
"45",113,1.9536
"46",203,1.9536
"47",311,1.9536
"48",471,1.9536
"49",740,1.9536
"50",838,1.9536
"51",154,1.9607
"52",437,1.9607
"53",965,1.9607
"54",877,2.0026
"55",955,2.0026
"56",326,2.0221
"57",332,2.0221
"58",712,2.0221
"59",781,2.0221
"60",835,2.0221
"61",908,2.0807
"62",977,2.0807
"63",15,2.1618
"64",136,2.1618
"65",739,2.1618
"66",76,2.207
"67",95,2.207
"68",295,2.207
"69",369,2.207
"70",897,2.22
"71",336,2.4198
"72",918,2.4198
"73",108,2.4821
"74",145,2.5134
"75",898,2.5366
"76",941,2.5366
"77",303,2.5865
"78",34,2.6058
"79",496,2.6058
"80",640,2.6058
"81",787,2.6058
"82",123,2.6379
"83",267,2.6408
"84",489,2.6408
"85",688,2.6408
"86",309,2.6685
"87",672,2.6685
"88",683,2.6685
"89",773,2.6685
"90",804,2.6685
"91",696,2.7569
"92",472,2.757
"93",604,2.757
"94",8,2.7599
"95",539,2.7599
"96",845,2.7599
"97",862,2.7599
"98",510,2.764
"99",647,2.764
"100",800,2.764
"101",318,2.793
"102",561,2.793
"103",689,2.793
"104",857,2.793
"105",966,2.793
"106",143,2.8525
"107",393,2.8525
"108",526,2.8525
"109",581,2.8525
"110",78,2.8918
"111",80,2.8918
"112",260,2.8918
"113",583,2.8918
"114",389,2.8964
"115",601,2.8964
"116",351,2.9446
"117",98,2.9549
"118",571,2.9549
"119",803,2.9549
"120",225,2.9608
"121",613,2.9608
"122",129,3.0251
"123",35,3.0301
"124",287,3.0301
"125",843,3.0783
"126",126,3.125
"127",459,3.286
"128",849,3.286
"129",807,3.3051
"130",73,3.413
"131",405,3.413
"132",896,3.413
"133",365,3.4397
"134",379,3.4397
"135",487,3.4397
"136",706,3.4397
"137",750,3.4397
"138",828,3.5
"139",396,3.5019
"140",648,3.5019
"141",676,3.5019
"142",806,3.5045
"143",17,3.5179
"144",83,3.5179
"145",657,3.5179
"146",60,3.5573
"147",631,3.5573
"148",495,3.5578
"149",315,3.6268
"150",805,3.6303
"151",276,3.7324
"152",367,3.7324
"153",506,3.7324
"154",645,3.7324
"155",62,3.8182
"156",316,3.8182
"157",418,3.8182
"158",319,3.8222
"159",670,3.8222
"160",140,3.8817
"161",953,3.8817
"162",533,3.8918
"163",989,3.9243
"164",178,3.9944
"165",718,3.9944
"166",252,4.0128
"167",308,4.0128
"168",575,4.0128
"169",599,4.0128
"170",771,4.0128
"171",723,4.0196
"172",372,4.0294
"173",467,4.0294
"174",870,4.0294
"175",714,4.0561
"176",847,4.0561
"177",57,4.17
"178",297,4.17
"179",421,4.17
"180",363,4.1809
"181",127,4.2751
"182",86,4.2832
"183",633,4.2832
"184",954,4.2921
"185",2,4.3044
"186",212,4.3044
"187",662,4.3044
"188",921,4.3044
"189",945,4.3044
"190",993,4.3044
"191",52,4.3208
"192",445,4.3708
"193",724,4.3708
"194",791,4.3708
"195",931,4.3708
"196",991,4.3708
"197",597,4.3806
"198",717,4.3806
"199",272,4.4114
"200",383,4.4681
"201",890,4.4681
"202",42,4.4978
"203",96,4.4978
"204",219,4.4978
"205",358,4.5074
"206",373,4.5074
"207",384,4.5074
"208",546,4.5074
"209",936,4.5158
"210",223,4.5411
"211",490,4.5411
"212",566,4.5441
"213",727,4.5441
"214",782,4.5441
"215",792,4.5441
"216",940,4.5441
"217",279,4.5472
"218",762,4.5472
"219",765,4.5472
"220",322,4.5591
"221",451,4.5591
"222",463,4.5591
"223",67,4.622
"224",427,4.622
"225",674,4.622
"226",859,4.622
"227",438,4.6324
"228",216,4.6603
"229",222,4.6918
"230",202,4.7486
"231",354,4.7486
"232",446,4.7519
"233",651,4.7519
"234",426,4.7614
"235",772,4.7722
"236",133,4.7858
"237",374,4.7858
"238",827,4.7858
"239",746,4.79
"240",220,4.8127
"241",447,4.8395
"242",588,4.8395
"243",733,4.8395
"244",970,4.8395
"245",207,4.8474
"246",811,4.8474
"247",722,4.9169
"248",836,4.9169
"249",290,4.9422
"250",947,4.9422
"251",117,5.0016
"252",697,5.0016
"253",715,5.0016
"254",884,5.0016
"255",469,5.0106
"256",757,5.0106
"257",312,5.0304
"258",278,5.0802
"259",420,5.0802
"260",572,5.0802
"261",208,5.082
"262",51,5.083
"263",961,5.083
"264",242,5.1129
"265",246,5.1129
"266",730,5.1687
"267",417,5.1714
"268",868,5.1917
"269",642,5.1987
"270",346,5.2078
"271",797,5.2078
"272",948,5.2078
"273",205,5.224
"274",215,5.224
"275",902,5.224
"276",64,5.2424
"277",493,5.2424
"278",241,5.2699
"279",422,5.2699
"280",660,5.2699
"281",899,5.2699
"282",255,5.2945
"283",988,5.3492
"284",564,5.3882
"285",840,5.3882
"286",33,5.4131
"287",637,5.4131
"288",872,5.4131
"289",430,5.4214
"290",491,5.4214
"291",550,5.4376
"292",577,5.4376
"293",839,5.4376
"294",58,5.4499
"295",355,5.4499
"296",444,5.4499
"297",166,5.4675
"298",285,5.4758
"299",608,5.4758
"300",665,5.4758
"301",639,5.5075
"302",758,5.5075
"303",48,5.5092
"304",94,5.5092
"305",196,5.5092
"306",621,5.5092
"307",756,5.5092
"308",818,5.5171
"309",156,5.5183
"310",20,5.5508
"311",345,5.5508
"312",1,5.5679
"313",206,5.5679
"314",516,5.5797
"315",796,5.5913
"316",934,5.5913
"317",130,5.5987
"318",667,5.643
"319",974,5.643
"320",923,5.669
"321",183,5.6783
"322",482,5.6783
"323",893,5.6783
"324",987,5.6783
"325",146,5.68
"326",643,5.7526
"327",995,5.7526
"328",250,5.7726
"329",812,5.7726
"330",155,5.7968
"331",233,5.7968
"332",690,5.7968
"333",656,5.8235
"334",189,5.8288
"335",360,5.8288
"336",131,5.9223
"337",41,5.9632
"338",313,5.9668
"339",532,5.9668
"340",957,5.9668
"341",985,5.9668
"342",118,5.9803
"343",886,5.9803
"344",284,6.0132
"345",764,6.0413
"346",853,6.0413
"347",7,6.0699
"348",391,6.0699
"349",704,6.0699
"350",798,6.0699
"351",25,6.0729
"352",63,6.0729
"353",331,6.0729
"354",442,6.0729
"355",456,6.0729
"356",461,6.0729
"357",860,6.0729
"358",959,6.0729
"359",103,6.1572
"360",992,6.1572
"361",476,6.2147
"362",187,6.233
"363",729,6.233
"364",754,6.233
"365",239,6.3037
"366",280,6.3037
"367",659,6.3037
"368",964,6.3037
"369",314,6.5914
"370",522,6.5914
"371",624,6.5914
"372",299,6.818
"373",784,6.8988
"374",986,6.8988
"375",201,6.9217
"376",357,6.9217
"377",217,6.9771
"378",110,7.0538
"379",13,7.0564
"380",707,7.0564
"381",748,7.1805
"382",830,7.1805
"383",399,7.23
"384",687,7.23
"385",376,7.2605
"386",962,7.2605
"387",238,7.2706
"388",274,7.275
"389",630,7.275
"390",104,7.2821
"391",141,7.2821
"392",537,7.2834
"393",595,7.2865
"394",703,7.2865
"395",480,7.3093
"396",552,7.3093
"397",142,7.312
"398",520,7.312
"399",878,7.312
"400",468,7.3368
"401",485,7.3368
"402",160,7.3448
"403",509,7.3448
"404",541,7.3448
"405",330,7.4146
"406",737,7.4146
"407",858,7.4146
"408",72,7.4172
"409",434,7.4172
"410",891,7.4172
"411",650,7.4401
"412",170,7.445
"413",909,7.445
"414",112,7.4537
"415",151,7.4537
"416",406,7.4537
"417",951,7.4537
"418",901,7.4542
"419",726,7.474
"420",46,7.4783
"421",548,7.4783
"422",768,7.486
"423",306,7.5082
"424",502,7.5082
"425",43,7.5334
"426",905,7.5334
"427",596,7.5571
"428",755,7.5571
"429",698,7.5787
"430",475,7.6814
"431",323,7.7097
"432",557,7.7097
"433",560,7.732
"434",578,7.732
"435",710,7.7599
"436",848,7.7599
"437",922,7.7607
"438",786,7.8053
"439",972,7.8053
"440",22,7.8131
"441",105,7.8131
"442",377,7.8131
"443",719,7.8319
"444",558,7.8449
"445",629,7.8449
"446",277,7.8469
"447",388,7.8469
"448",880,7.8469
"449",547,7.8475
"450",70,7.8637
"451",481,7.8693
"452",713,7.9008
"453",655,7.929
"454",101,7.9466
"455",262,7.9466
"456",593,7.9466
"457",173,7.9757
"458",4,7.9924
"459",135,7.9924
"460",626,7.9924
"461",685,7.9924
"462",920,7.9924
"463",734,8.0311
"464",50,8.0877
"465",569,8.0877
"466",892,8.0877
"467",929,8.0877
"468",580,8.091
"469",826,8.1086
"470",854,8.1086
"471",79,8.1568
"472",107,8.1568
"473",115,8.1568
"474",124,8.1568
"475",121,8.1619
"476",900,8.1619
"477",443,8.175
"478",504,8.175
"479",609,8.175
"480",19,8.1751
"481",150,8.1751
"482",499,8.1998
"483",356,8.2045
"484",497,8.2045
"485",525,8.2045
"486",74,8.2498
"487",305,8.2498
"488",449,8.2498
"489",221,8.2577
"490",511,8.2577
"491",292,8.2713
"492",543,8.2713
"493",820,8.2713
"494",831,8.2713
"495",161,8.2851
"496",400,8.2954
"497",555,8.2954
"498",432,8.3557
"499",625,8.38
"500",634,8.4088
"501",694,8.4088
"502",943,8.4088
"503",998,8.4088
"504",371,8.4093
"505",744,8.4093
"506",968,8.4093
"507",227,8.4401
"508",433,8.4401
"509",720,8.4401
"510",310,8.4571
"511",428,8.4571
"512",492,8.4571
"513",253,8.5017
"514",652,8.5017
"515",668,8.5017
"516",231,8.5113
"517",416,8.5113
"518",592,8.5184
"519",669,8.5251
"520",973,8.5251
"521",39,8.5258
"522",185,8.5258
"523",695,8.5258
"524",523,8.5303
"525",296,8.5441
"526",810,8.5441
"527",903,8.5441
"528",157,8.5847
"529",681,8.5847
"530",618,8.6038
"531",545,8.6435
"532",874,8.6549
"533",976,8.6827
"534",109,8.7179
"535",288,8.7179
"536",381,8.7179
"537",248,8.7181
"538",249,8.7181
"539",386,8.7181
"540",565,8.7181
"541",779,8.7181
"542",75,8.7422
"543",139,8.7422
"544",264,8.7422
"545",349,8.7422
"546",671,8.7422
"547",809,8.7422
"548",815,8.7422
"549",887,8.7422
"550",984,8.7422
"551",93,8.7729
"552",960,8.7729
