"","Pseudorep","Median_distance_huanan"
"1",792,5.6498
"2",787,5.7726
"3",459,5.8288
"4",37,5.9803
"5",1,6.0413
"6",41,6.0413
"7",132,6.0413
"8",109,6.0729
"9",669,6.0729
"10",861,6.0729
"11",13,6.1572
"12",166,6.233
"13",352,6.233
"14",293,6.4318
"15",11,6.5524
"16",794,6.5524
"17",799,6.5914
"18",948,6.5914
"19",222,6.818
"20",525,6.818
"21",735,6.818
"22",82,6.8988
"23",172,6.8988
"24",837,6.8988
"25",36,6.9217
"26",329,6.9217
"27",884,6.9217
"28",649,7.0371
"29",30,7.0538
"30",599,7.0538
"31",47,7.0564
"32",444,7.1805
"33",953,7.1805
"34",74,7.2106
"35",26,7.23
"36",151,7.23
"37",301,7.23
"38",925,7.23
"39",889,7.2605
"40",254,7.2706
"41",532,7.2706
"42",572,7.2706
"43",609,7.2706
"44",805,7.2706
"45",386,7.2821
"46",678,7.2821
"47",924,7.2865
"48",955,7.2865
"49",59,7.3093
"50",427,7.3093
"51",561,7.3093
"52",665,7.3093
"53",263,7.312
"54",71,7.3368
"55",165,7.3368
"56",192,7.3368
"57",193,7.3368
"58",393,7.3368
"59",424,7.3368
"60",457,7.3368
"61",482,7.3368
"62",629,7.3368
"63",690,7.3368
"64",762,7.3368
"65",824,7.3368
"66",892,7.3368
"67",152,7.3448
"68",345,7.3448
"69",413,7.3448
"70",529,7.3448
"71",681,7.3448
"72",847,7.3448
"73",993,7.3448
"74",886,7.402
"75",907,7.402
"76",191,7.4146
"77",591,7.4146
"78",638,7.4146
"79",903,7.4146
"80",246,7.4172
"81",407,7.4172
"82",770,7.4172
"83",850,7.4172
"84",201,7.4294
"85",831,7.4401
"86",342,7.445
"87",453,7.445
"88",512,7.445
"89",737,7.445
"90",16,7.4537
"91",147,7.4537
"92",495,7.4537
"93",586,7.4537
"94",650,7.4537
"95",945,7.4537
"96",359,7.4542
"97",753,7.4542
"98",784,7.4542
"99",45,7.4677
"100",314,7.4677
"101",539,7.4677
"102",553,7.4677
"103",721,7.4677
"104",766,7.4677
"105",918,7.4677
"106",233,7.474
"107",395,7.474
"108",462,7.474
"109",269,7.4783
"110",274,7.4783
"111",864,7.4783
"112",944,7.4783
"113",175,7.486
"114",296,7.486
"115",420,7.486
"116",519,7.486
"117",555,7.486
"118",751,7.486
"119",64,7.5082
"120",208,7.5082
"121",565,7.5082
"122",114,7.5334
"123",130,7.5334
"124",429,7.5334
"125",492,7.5334
"126",697,7.5334
"127",874,7.5334
"128",169,7.5571
"129",189,7.5571
"130",600,7.5571
"131",704,7.5571
