"id","distance_market_km"
"355","2.8049"
"356","4.0561"
"357","3.7169"
"358","3.9243"
"359","2.8525"
"360","2.8525"
"361","5.5508"
"362","3.5578"
"363","5.8288"
"364","3.7063"
"365","5.3882"
"366","3.4130"
"367","3.4130"
"368","4.9214"
"369","16.4180"
"370","3.2924"
"371","4.7858"
"372","4.7858"
"373","4.7858"
"374","12.5609"
"375","11.8099"
"376","11.8099"
"377","3.5573"
"378","3.5573"
"379","4.4978"
"380","13.8064"
"381","3.9716"
"382","4.3708"
"383","4.3708"
"384","10.8791"
"385","10.8791"
"386","9.1980"
"387","9.1115"
"388","9.1482"
"389","4.3806"
"390","4.5867"
"391","3.8222"
"392","12.1267"
"393","12.1267"
"394","8.5847"
"395","10.6365"
"396","4.8127"
"397","3.6268"
"398","3.9944"
"399","4.0294"
"400","10.1152"
"401","3.6303"
"402","10.0646"
"403","4.4114"
"404","4.0128"
"405","4.3992"
"406","9.6958"
"407","9.3504"
"408","4.7900"
"409","12.2678"
"410","11.9882"
"411","4.7486"
"412","4.1809"
"413","8.1086"
"414","8.4401"
"415","4.1436"
"416","11.6745"
"417","11.7736"
"418","9.2421"
"419","3.9768"
"420","8.5258"
"421","3.9825"
"422","5.0802"
"423","11.8305"
"424","12.2239"
"425","4.8395"
"426","4.8395"
"427","4.8395"
"428","16.4876"
"429","5.3262"
"430","4.6087"
"431","8.3894"
"432","10.3337"
"433","10.3145"
"434","4.7722"
"435","5.3899"
"436","4.5074"
"437","5.2283"
"438","13.7835"
"439","4.7154"
"440","9.2000"
"441","4.8474"
"442","7.9466"
"443","6.8180"
"444","6.8180"
"445","4.9169"
"446","23.7755"
"447","5.2078"
"448","5.2078"
"449","8.3557"
"450","5.2945"
"451","28.3759"
"452","28.3759"
"453","8.7422"
"454","8.7422"
"455","8.7422"
"456","8.7422"
"457","8.7422"
"458","8.7422"
"459","8.7422"
"460","8.7422"
"461","8.7422"
"462","8.7422"
"463","5.1695"
"464","12.2246"
"465","6.7957"
"466","6.0413"
"467","6.0413"
"468","9.5114"
"469","5.4214"
"470","7.4740"
"471","6.9217"
"472","5.5171"
"473","10.1300"
"474","10.1300"
"475","10.1300"
"476","10.1300"
"477","10.1300"
"478","5.4758"
"479","7.0564"
"480","10.2662"
"481","6.0699"
"482","6.0699"
"483","6.9771"
"484","10.6992"
"485","5.4294"
"486","5.6802"
"487","12.2967"
"488","12.5064"
"489","12.6652"
"490","12.6606"
"491","7.4783"
"492","7.4542"
"493","14.5771"
"494","13.9911"
"495","11.3925"
"496","6.5524"
"497","7.3093"
"498","7.7599"
"499","7.0371"
"500","11.3118"
"501","11.3118"
"502","7.2821"
"503","10.2620"
"504","7.4677"
"505","7.2834"
"506","11.9192"
"507","10.7344"
"508","11.7556"
"509","10.2091"
"510","12.3735"
"511","12.5322"
"512","12.1824"
"513","11.3578"
"514","11.6627"
"515","7.2300"
"516","7.4450"
"517","7.2865"
"518","8.4571"
"519","12.9933"
"520","12.7732"
"521","12.7732"
"522","7.8053"
"523","7.4860"
"524","8.5441"
"525","7.7097"
"526","10.4133"
"527","10.4133"
"528","7.9008"
"529","14.9028"
"530","8.2577"
"531","8.2577"
"532","12.0573"
"533","10.7264"
"534","10.2776"
"535","7.4020"
"536","7.8319"
"537","9.5893"
"538","7.4401"
"539","8.1274"
"540","9.1841"
"541","12.6429"
"542","7.8449"
"543","8.6827"
"544","8.9462"
"545","7.7607"
"546","7.9757"
"547","9.3249"
"548","13.4690"
"549","15.1694"
"550","15.1694"
"551","15.1694"
"552","15.1694"
"553","16.2985"
"554","8.6549"
"555","12.3830"
"556","60.2117"
"557","8.1568"
"558","8.1568"
"559","11.0773"
"560","8.5113"
"561","11.4647"
"562","8.8177"
"563","8.8177"
"564","11.1051"
"565","8.0910"
"566","8.1619"
"567","8.4093"
"568","13.9559"
"569","14.1377"
"570","8.5251"
"571","11.2126"
"572","8.6435"
"573","14.1060"
"574","10.5144"
"575","10.4857"
"576","9.0266"
"577","12.9621"
"578","10.2861"
"579","10.7265"
"580","9.1738"
"581","10.2468"
"582","29.7158"
"583","11.1420"
"584","10.6802"
"585","10.6802"
"586","10.5130"
"587","9.5120"
"588","10.2485"
"589","10.3798"
"590","10.3900"
"591","10.3900"
"592","10.7656"
"593","9.8229"
"594","10.2082"
"595","10.1849"
"596","13.8276"
"597","16.0136"
"598","16.0136"
"599","14.2076"
"600","11.1642"
"601","10.1057"
"602","10.1057"
"603","12.6911"
"604","10.1745"
"605","10.1745"
"606","10.8689"
"607","11.0441"
"608","15.3377"
"609","10.4674"
"610","10.3316"
"611","10.3316"
"612","10.3316"
"613","31.8722"
"614","10.4876"
"615","10.5762"
"616","10.5762"
"617","22.4193"
"618","10.6338"
"619","16.0912"
"620","12.8675"
"621","11.4339"
"622","17.4515"
"623","11.7822"
"624","10.8132"
"625","25.8538"
"626","31.3144"
"627","31.3144"
"628","10.8790"
"629","13.4884"
"630","10.9644"
"631","19.8812"
"632","71.6493"
"633","11.5416"
"634","11.2563"
"635","11.2457"
"636","11.2817"
"637","11.2321"
"638","11.3526"
"639","11.3526"
"640","11.3782"
"641","11.4301"
"642","11.7397"
"643","11.4859"
"644","11.5889"
"645","11.5889"
"646","11.5889"
"647","11.5889"
"648","11.9083"
"649","11.6356"
"650","11.9745"
"651","11.9745"
"652","11.9745"
"653","11.9745"
"654","12.0976"
"655","12.0458"
"656","11.8907"
"657","11.8907"
"658","17.6399"
"659","17.7806"
"660","16.9818"
"661","17.0285"
"662","12.0624"
"663","12.2755"
"664","12.1242"
"665","18.2938"
"666","12.5068"
"667","12.9950"
"668","20.2263"
"669","19.9518"
"670","19.9518"
"671","12.9934"
"672","12.9909"
